Codebook_Size,Avg_Total_Loss,Avg_Recon_Loss,Avg_VQ_Loss,Used_Codes,Training_Time(s)
64,1.0366186207291415,0.016814127046146245,1.0198044929423058,64,226.32
128,0.7522170767346933,0.015146394591850004,0.7370706816980326,124,276.53
256,0.8054187648586119,0.015591727496226077,0.789827036959276,234,290.64
